% Model:              doble_barrera_electric_Field.mph
% Version:            COMSOL 6.2.0.339
% Date:               May 25 2025, 12:28
% Table:              Table 8 - Global Evaluation 2
% m                      B0                       E0                       h1                       Integration 1 (meV)
-1                       10                       1000                     20                       8.739378938185594
-1                       10                       1000                     25                       8.660192426801881
-1                       10                       1000                     30                       8.522494562719702
-1                       10                       1000                     35                       8.339321478848978
-1                       10                       1000                     40                       8.096923669099889
-1                       10                       1000                     45                       7.799986705920686
-1                       10                       1000                     50                       7.468675447748017
-1                       10                       1000                     55                       7.080462286503615
-1                       10                       1000                     60                       6.667850181448621
-1                       10                       1000                     65                       6.254858190071929
-1                       10                       1000                     70                       5.827903970812584
-1                       10                       1000                     75                       5.424804740301967
-1                       10                       1000                     80                       5.0581943519590835
-1                       10                       1000                     85                       4.714988200495363
-1                       10                       1000                     90                       4.403240424565266
-1                       10                       1000                     95                       4.123184818628585
-1                       10                       1000                     100                      3.8715219892010055
-1                       10                       1000                     110                      3.442644398197169
-1                       10                       1000                     120                      3.10191216697054
-1                       10                       1000                     130                      2.8303182392475446
-1                       10                       1000                     140                      2.602369147080452
-1                       10                       1000                     150                      2.407815923050172
-1                       10                       1000                     160                      2.2424006053297494
-1                       10                       1000                     170                      2.095299577086619
-1                       10                       1000                     180                      1.9620351828108673
-1                       10                       1000                     190                      1.8469107730266212
-1                       10                       1000                     200                      1.7438799069173239
-1                       10                       10000                    2                        9.424038594259587
-1                       10                       10000                    3                        9.102754384639775
-1                       10                       10000                    4                        9.102926901539682
-1                       10                       10000                    5                        8.876032690417725
-1                       10                       10000                    6                        8.931559673663692
-1                       10                       10000                    7                        8.785838892323556
-1                       10                       10000                    8                        8.751811232894049
-1                       10                       10000                    9                        8.8412204999047
-1                       10                       10000                    10                       8.824508327978192
-1                       10                       10000                    15                       8.814257300520886
-1                       10                       10000                    20                       8.739391279198108
